Cage,Rep,Females,Age,Treatment,order,Max_Swarming,Average_swarming
H1,A,No,36,High,A,3,0.56
H10,A,No,36,High,A,13,1.76
H2,A,No,36,High,A,5,9.68
H3,A,No,36,High,A,10,1.44
H4,A,No,36,High,A,10,0.92
H5,A,No,36,High,A,9,0.8
H6,A,No,36,High,A,8,1.96
H7,A,No,36,High,A,9,1.56
H8,A,No,36,High,A,9,2.12
H9,A,No,36,High,A,12,4.28
L1,A,No,36,Low,A,6,1.4
L10,A,No,36,Low,A,5,0.36
L2,A,No,36,Low,A,10,1.68
L3,A,No,36,Low,A,5,3.72
L4,A,No,36,Low,A,10,1.6
L5,A,No,36,Low,A,9,1.08
L6,A,No,36,Low,A,8,1.08
L7,A,No,36,Low,A,8,1.68
L8,A,No,36,Low,A,11,1.96
L9,A,No,36,Low,A,9,0.96
H1,B,No,36,High,A,10,1.4
H1,B,Yes,72,High,A,11,4.24
H10,B,No,36,High,A,9,1.48
H10,B,Yes,72,High,A,14,7.28
H2,B,No,36,High,A,15,3.96
H2,B,Yes,72,High,A,18,4.76
H3,B,No,36,High,A,15,4.56
H3,B,Yes,72,High,A,16,4.12
H4,B,No,36,High,A,13,4.24
H4,B,Yes,72,High,A,18,4.92
H5,B,No,36,High,A,10,4
H5,B,Yes,72,High,A,12,5
H6,B,No,36,High,A,15,3.36
H6,B,Yes,72,High,A,18,5.08
H7,B,No,36,High,A,10,2.8
H7,B,Yes,72,High,A,17,5.84
H8,B,No,36,High,A,13,1.04
H8,B,Yes,72,High,A,15,4.2
H9,B,No,36,High,A,10,1.08
H9,B,Yes,72,High,A,18,4.6
L1,B,No,36,Low,B,16,6.92
L1,B,Yes,72,Low,B,9,3.16
L2,B,No,36,Low,B,11,4.12
L2,B,Yes,72,Low,B,7,2.52
L3,B,No,36,Low,B,14,3.16
L3,B,Yes,72,Low,B,10,3.16
L4,B,No,36,Low,B,11,4.12
L4,B,Yes,72,Low,B,14,3.64
H1,C,No,36,High,A,10,3.88
H1,C,Yes,72,High,A,15,4.12
L1,C,No,36,Low,A,16,6.16
L1,C,Yes,72,Low,A,13,4.52
L2,C,No,36,Low,A,11,2.32
L2,C,Yes,72,Low,A,11,5.32
H22,a,No,72,High,B,11,4.2
H22,D,Yes,36,High,B,15,4.36
H31,D,No,36,High,A,11,3.28
H31,D,Yes,72,High,A,17,5.28
H23,D,No,72,High,B,14,3.68
H23,D,Yes,36,High,B,16,3.08
H24,D,No,72,High,B,12,4.04
H24,D,Yes,36,High,B,10,2
H25,D,No,72,High,B,13,3
H25,D,Yes,36,High,B,17,2.88
H26,D,No,72,High,B,10,3
H26,D,Yes,36,High,B,12,2
H27,D,No,36,High,A,15,5.56
H27,D,Yes,72,High,A,17,5.92
H28,D,No,36,High,A,15,2.44
H28,D,Yes,72,High,A,17,5.72
H29,D,No,36,High,A,17,6.04
H29,D,Yes,72,High,A,17,5.72
H30,D,No,36,High,A,11,3.48
H30,D,Yes,72,High,A,17,5.76
L17,D,No,36,Low,A,10,5.8
L17,D,Yes,72,Low,A,14,4.56
L26,D,No,36,Low,A,9,1.4
L26,D,Yes,72,Low,A,14,4.68
L27,D,No,36,Low,A,7,1.68
L27,D,Yes,72,Low,A,15,3.56
L28,D,No,36,Low,A,9,0.92
L28,D,Yes,72,Low,A,7,1.84
L29,D,Yes,72,Low,B,7,2.36
L29,D,No,36,Low,B,12,1.88
L30,D,No,36,Low,A,10, 
L31,D,No,72,Low,A,10, 
L32,D,No,36,Low,A,12, 
L33,D,No,72,Low,A,14, 
L34,D,No,36,Low,A,13, 
L35,D,No,72,Low,A,9, 
L18,D,No,36,Low,A,15,4.52
L18,D,Yes,72,Low,A,17,5.2
L36,D,No,36,Low,A,6, 
L36,D,Yes,72,Low,A,15, 
L37,D,No,36,Low,A,15, 
L37,D,Yes,72,Low,A,10, 
L38,D,No,36,Low,A,15, 
L38,D,Yes,72,Low,A,10, 
L36,D,No,36,Low,A,13,3.16
L36,D,Yes,72,Low,A,14,1.72
L40,D,No,36,Low,A,14,3.92
L40,D,Yes,72,Low,A,14,2.04
L19,D,No,36,Low,A,8,1.08
L19,D,Yes,72,Low,A,14,1.36
L20,D,No,36,Low,A,12,3.04
L20,D,Yes,72,Low,A,14,3.08
L21,D,No,36,Low,A,6,0.32
L21,D,Yes,72,Low,A,10,3.2
L22,D,No,36,Low,A,9,1.52
L22,D,Yes,72,Low,A,14,3.36
L23,D,No,36,Low,A,8,1
L23,D,Yes,72,Low,A,17,7.16
L24,D,No,36,Low,A,13,2.8
L24,D,Yes,72,Low,A,16,4.6
L25,D,No,36,Low,A,10,1.96
L25,D,Yes,72,Low,A,16,2.84
 , , , , , , , 
 , , , , , , , 
 , , , , , , , 
 , , , , , , , 
 , , , , , , , 
 , , , , , , , 
