curve_ID,originaltraitname,originaltraitunit,originaltraitvalue,standardisedtraitname,standardardisedtraitunit,standardisedtraitvalue,interactor1,habitat,common,ambienttemp,ambienttempunit,interactor2,stressor,stage,doi,citation,figuretable,mismatch
8,Juvenile Development Time,days,59.29,Juvenile Development Rate,1/days,0.0169,Bemisia tabaci,terrestrial,whitefly,16,celcius,NA,NA,juvenile,0.1007/s10340-020-01249-z,Aregbesola et al. 2020. Life history and temperature_dependence of cassava_colonising populations of Bemisia tabaci. Journal of Pest Science 93:1225–1241,SM1,yes
8,Juvenile Development Time,days,38.91,Juvenile Development Rate,1/days,0.0257,Bemisia tabaci,terrestrial,whitefly,20,celcius,NA,NA,juvenile,0.1007/s10340-020-01249-z,Aregbesola et al. 2020. Life history and temperature_dependence of cassava_colonising populations of Bemisia tabaci. Journal of Pest Science 93:1225–1241,SM1,yes
8,Juvenile Development Time,days,28.21,Juvenile Development Rate,1/days,0.0354,Bemisia tabaci,terrestrial,whitefly,24,celcius,NA,NA,juvenile,0.1007/s10340-020-01249-z,Aregbesola et al. 2020. Life history and temperature_dependence of cassava_colonising populations of Bemisia tabaci. Journal of Pest Science 93:1225–1241,SM1,yes
8,Juvenile Development Time,days,16.31,Juvenile Development Rate,1/days,0.0613,Bemisia tabaci,terrestrial,whitefly,28,celcius,NA,NA,juvenile,0.1007/s10340-020-01249-z,Aregbesola et al. 2020. Life history and temperature_dependence of cassava_colonising populations of Bemisia tabaci. Journal of Pest Science 93:1225–1241,SM1,yes
8,Juvenile Development Time,days,25.05,Juvenile Development Rate,1/days,0.0399,Bemisia tabaci,terrestrial,whitefly,32,celcius,NA,NA,juvenile,0.1007/s10340-020-01249-z,Aregbesola et al. 2020. Life history and temperature_dependence of cassava_colonising populations of Bemisia tabaci. Journal of Pest Science 93:1225–1241,SM1,yes
8,Juvenile Development Time,days,0,Juvenile Development Rate,1/days,0,Bemisia tabaci,terrestrial,whitefly,36,celcius,NA,NA,juvenile,0.1007/s10340-020-01249-z,Aregbesola et al. 2020. Life history and temperature_dependence of cassava_colonising populations of Bemisia tabaci. Journal of Pest Science 93:1225–1241,SM1,yes
11,Immature development time,days,41.9,Juvenile Development Rate,days,0.0239,Liposcelis bostrychophila,terrestrial,booklouse,20,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
11,Immature development time,days,36.4,Juvenile Development Rate,days,0.0275,Liposcelis bostrychophila,terrestrial,booklouse,22.5,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
11,Immature development time,days,34.8,Juvenile Development Rate,days,0.0287,Liposcelis bostrychophila,terrestrial,booklouse,25,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
11,Immature development time,days,24.4,Juvenile Development Rate,days,0.041,Liposcelis bostrychophila,terrestrial,booklouse,27.5,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
11,Immature development time,days,21,Juvenile Development Rate,days,0.0476,Liposcelis bostrychophila,terrestrial,booklouse,30,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
11,Immature development time,days,18.1,Juvenile Development Rate,days,0.0552,Liposcelis bostrychophila,terrestrial,booklouse,32.5,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
1,Female Survival Time,days,13.1839,Female Mortality Rate,1/days,0.0759,Aedes aegypti,terrestrial,mosquito,10.54,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,10.9064,Female Mortality Rate,1/days,0.0917,Aedes aegypti,terrestrial,mosquito,10.76,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,27.7147,Female Mortality Rate,1/days,0.0361,Aedes aegypti,terrestrial,mosquito,15.3,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,30.616,Female Mortality Rate,1/days,0.0327,Aedes aegypti,terrestrial,mosquito,16.52,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,23.7201,Female Mortality Rate,1/days,0.0422,Aedes aegypti,terrestrial,mosquito,20.05,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
1,Female Survival Time,days,26.8992,Female Mortality Rate,1/days,0.0372,Aedes aegypti,terrestrial,mosquito,21.79,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
11,Immature development time,days,21.5,Juvenile Development Rate,days,0.0465,Liposcelis bostrychophila,terrestrial,booklouse,35,celcius,NA,NA,juvenile,10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,Wang et al. 2000. Development and Reproduction of the Psocid Liposcelis bostrychophila (Psocoptera: Liposcelididae) as a Function of Temperature. Ann. Entomol. Soc. Am. 93(2): 261–270,Table 1,yes
13,Juvenile Development Time,days,NA,Juvenile Development Rate,1/days,0,Paracoccus marginatu,terrestrial,mealy bug,15,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
13,Juvenile Development Time,days,74.4,Juvenile Development Rate,1/days,0.0134,Paracoccus marginatu,terrestrial,mealy bug,18,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
13,Juvenile Development Time,days,45.9,Juvenile Development Rate,1/days,0.0218,Paracoccus marginatu,terrestrial,mealy bug,20,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
13,Juvenile Development Time,days,25.9,Juvenile Development Rate,1/days,0.0386,Paracoccus marginatu,terrestrial,mealy bug,25,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
13,Juvenile Development Time,days,23.2,Juvenile Development Rate,1/days,0.0431,Paracoccus marginatu,terrestrial,mealy bug,30,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
13,Juvenile Development Time,days,NA,Juvenile Development Rate,1/days,0,Paracoccus marginatu,terrestrial,mealy bug,34,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
13,Juvenile Development Time,days,NA,Juvenile Development Rate,1/days,0,Paracoccus marginatu,terrestrial,mealy bug,35,celcius,NA,NA,juvenile,10.1603/0022-0493-101.6.1798,"Amarasekare, K.G. et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101(6): 1798-1804.",Table 1,yes
15,Juvenile Development Time,days,51.7,Juvenile Development Rate,1/days,0.0193,Rhopalosiphum maidis,terrestrial,aphid,6,celcius,NA,NA,juvenile,10.1303/aez.2006.171,"Kuo, M.H. 2006. Temperature effects on life history traits of the corn leaf aphid, Rhopalosiphummaidis(Homoptera: Aphididae) on corn in Taiwan. Appl. Entomol. Zool. 41 (1): 171–177.",Table 1,yes
