"","originalid","originaltraitname","originaltraitunit","originaltraitvalue","interactor1","ambienttemp","citation"
"1","csm7I","Development Rate","1/day",0.038685725,"Tetranychus mcdanieli",11.99244236,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"2","csm7I","Development Rate","1/day",0.057036689,"Tetranychus mcdanieli",13.9639207,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"3","csm7I","Development Rate","1/day",0.082690282,"Tetranychus mcdanieli",15.99984765,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"4","csm7I","Development Rate","1/day",0.143118306,"Tetranychus mcdanieli",20.00933942,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"5","csm7I","Development Rate","1/day",0.223616143,"Tetranychus mcdanieli",23.95786001,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"6","csm7I","Development Rate","1/day",0.320540759,"Tetranychus mcdanieli",27.97198837,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"7","csm7I","Development Rate","1/day",0.364442649,"Tetranychus mcdanieli",30.01023362,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"8","csm7I","Development Rate","1/day",0.399217079,"Tetranychus mcdanieli",31.98379843,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"9","csm7I","Development Rate","1/day",0.433991508,"Tetranychus mcdanieli",33.95736324,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"10","csm7I","Development Rate","1/day",0.439575288,"Tetranychus mcdanieli",36.05426136,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
"11","csm7I","Development Rate","1/day",0.395878733,"Tetranychus mcdanieli",37.95433621,"Roy, Michèle, Jacques Brodeur, and Conrad Cloutier. ""Relationship between temperature and developmental rate of Stethorus punctillum (Coleoptera: Coccinellidae) and its prey Tetranychus mcdanieli (Acarina: Tetranychidae)."" Environmental Entomology 31.1 (2002): 177-187."
