"","originaltraitname","originaltraitvalue","originaltraitunit","standardisedtraitname","standardisedtraitvalue","standardisedtraitunit","species","temp","citation"
"1","Aquatic Phase Mortality Rate",0.16173,"1/days","Juvenile Mortality Rate",0.16173,"1/days","Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"2","Aquatic Phase Mortality Rate",0.09729,"1/days","Juvenile Mortality Rate",0.09729,"1/days","Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"3","Aquatic Phase Mortality Rate",0.0817,"1/days","Juvenile Mortality Rate",0.0817,"1/days","Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"4","Aquatic Phase Mortality Rate",0.22253,"1/days","Juvenile Mortality Rate",0.22253,"1/days","Aedes aegypti",10,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"5","Aquatic Phase Mortality Rate",0.46886,"1/days","Juvenile Mortality Rate",0.46886,"1/days","Aedes aegypti",10.38,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"6","Aquatic Phase Mortality Rate",0.17455,"1/days","Juvenile Mortality Rate",0.17455,"1/days","Aedes aegypti",10.45,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"7","Aquatic Phase Mortality Rate",0.20706,"1/days","Juvenile Mortality Rate",0.20706,"1/days","Aedes aegypti",10.45,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"8","Aquatic Phase Mortality Rate",0.02087,"1/days","Juvenile Mortality Rate",0.02087,"1/days","Aedes aegypti",14.74,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"9","Aquatic Phase Mortality Rate",0.02344,"1/days","Juvenile Mortality Rate",0.02344,"1/days","Aedes aegypti",14.84,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"10","Aquatic Phase Mortality Rate",0.01809,"1/days","Juvenile Mortality Rate",0.01809,"1/days","Aedes aegypti",14.92,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"11","Aquatic Phase Mortality Rate",0.03672,"1/days","Juvenile Mortality Rate",0.03672,"1/days","Aedes aegypti",18.86,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"12","Aquatic Phase Mortality Rate",0.02063,"1/days","Juvenile Mortality Rate",0.02063,"1/days","Aedes aegypti",19.04,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"13","Aquatic Phase Mortality Rate",0.0331,"1/days","Juvenile Mortality Rate",0.0331,"1/days","Aedes aegypti",19.18,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"14","Aquatic Phase Mortality Rate",0.06779,"1/days","Juvenile Mortality Rate",0.06779,"1/days","Aedes aegypti",26.56,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"15","Aquatic Phase Mortality Rate",0.06311,"1/days","Juvenile Mortality Rate",0.06311,"1/days","Aedes aegypti",26.84,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
"16","Aquatic Phase Mortality Rate",0.06388,"1/days","Juvenile Mortality Rate",0.06388,"1/days","Aedes aegypti",26.85,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202."
