,curve_ID,originaltraitname,originaltraitunit,originaltraitvalue,standardisedtraitname,standardardisedtraitunit,standardisedtraitvalue,interactor1,habitat,common,ambienttemp,ambienttempunit,interactor2,stressor,stage,doi,citation,figuretable,mismatch
1,1,Female Survival Time,days,13.1839,Female Mortality Rate,1/days,0.0759,Aedes aegypti,terrestrial,mosquito,10.54,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
2,1,Female Survival Time,days,10.9064,Female Mortality Rate,1/days,0.0917,Aedes aegypti,terrestrial,mosquito,10.76,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
3,1,Female Survival Time,days,27.7147,Female Mortality Rate,1/days,0.0361,Aedes aegypti,terrestrial,mosquito,15.3,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
4,1,Female Survival Time,days,30.616,Female Mortality Rate,1/days,0.0327,Aedes aegypti,terrestrial,mosquito,16.52,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
5,1,Female Survival Time,days,23.7201,Female Mortality Rate,1/days,0.0422,Aedes aegypti,terrestrial,mosquito,20.05,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
6,1,Female Survival Time,days,26.8992,Female Mortality Rate,1/days,0.0372,Aedes aegypti,terrestrial,mosquito,21.79,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
7,1,Female Survival Time,days,32.8667,Female Mortality Rate,1/days,0.0304,Aedes aegypti,terrestrial,mosquito,25.64,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
8,1,Female Survival Time,days,36.9104,Female Mortality Rate,1/days,0.0271,Aedes aegypti,terrestrial,mosquito,27.64,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
9,1,Female Survival Time,days,22.7736,Female Mortality Rate,1/days,0.0439,Aedes aegypti,terrestrial,mosquito,31.33,celcius,NA,NA,adult,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 4,yes
13,1,Transition rate,1/days,0,Juvenile Development Rate,1/days,0,Aedes aegypti,aquatic,mosquito,10,celcius,NA,NA,juvenile,10.1017/S0950268809002040,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.",Table 10,yes
